Fallback handler called for "DC_BLOCK_INPUT". Got 2 args
Fallback handler called for "DC_BLOCK_CAP". Got 1 args
Fallback handler called for "DC_BLOCK_OUTPUT". Got 2 args
# Output from "simple" SuperMix based program
# Scanning BIAS from 0.100000 to 3.000000 mV in steps of 0.100000 mV
#
# FREQUENCY 650.000000 GHz
# BIAS 2.000000 mV
# LO_POWER 200.000000 nW
#
# Data from mixer.conf
#
# TEMP 2.500000 K
# Z0 10.000000 Ohms
# IF_FREQ 5.000000 GHz
# IF_Z0 50.000000 Ohms
# HARMONICS 3
#
# IV_CURVE /data/simulations/balance/mixer/idc.dat
# KK_CURVE ikk.dat
# RNA 20.000000 Ohm*um^2
# SCAP 65.000000 fF/um^2
# AREA 1.000000 um^2
# VGAP 2.820000 mV
#
# TUNER_TYPE BEL_WITH_RFCHOKE
# BELITSKY_INPUT_STRIP 1.000000 7.000000
# BELITSKY_TUNING_STRIP 15.000000 7.000000
# RF_CHOKE_TYPE RADIAL
# RADIAL_CHOKE_TYPE STRAIGHT
# RADIAL_CHOKE_INPUT 39.000000 3.000000 3.000000
# RADIAL_CHOKE_FAN 30.000000 180.000000
#
# TOP_DEFAULT NB
# TOP_THICKNESS 4000.000000
# GROUND_DEFAULT NB
# GROUND_THICKNESS 4000.000000
# INSUL_DEFAULT SIO
# INSUL_THICKNESS 4250.000000
# COVER_DEFAULT AIR
# COVER_THICKNESS 100000.000000
#
# NB_PROPERTIES 3.050000 9.400000 5.000000
# NBTIN_PROPERTIES 5.000000 15.750000 30.000000
# SIO_PROPERTIES 5.800000 0.000400
# AIR_PROPERTIES 1.000000 0.000000
#
# End of configuration file data
# 
# building the mixer...
# building tuner...
# tuner complete
# building IV curves...
# IV curves complete
# built mixer
# Junction 1 Embedding Impedance : 0.089897+-0.120651i
# Junction 2 Embedding Impedance : 0.116069+-0.194216i
# 
# Results:
#
# BIAS (mV)| LSB Gain | USB Gain | IF Output 0K (K)| IF Output 77K (K)| IF Output 297K (K)| DC Current (junc 1) (uA)| DC Current (junc 2) (uA)
0.100000      0.009780      0.013887      0.168179      0.186380      0.250465      4.232525      8.199631
0.200000      0.032272      0.038582      0.429112      0.587259      1.142702      8.182919      15.868082
0.300000      0.099741      0.109800      2.361505      3.735958      8.561681      10.025630      19.827258
0.400000      0.193343      0.208032      7.297641      12.335154      30.020589      10.616022      21.433109
0.500000      0.248759      0.266058      11.011590      19.296869      48.383682      10.881259      22.310932
0.600000      0.276512      0.295074      12.756262      22.968457      58.819601      11.079426      22.995373
0.700000      0.295921      0.315309      13.826724      25.503869      66.497584      11.254374      23.614180
0.800000      0.313293      0.333371      14.736274      27.805900      73.687802      11.408807      24.194292
0.900000      0.330322      0.351030      15.629582      30.138252      81.071813      11.540804      24.741599
1.000000      0.347099      0.368384      16.515009      32.512991      88.674689      11.649461      25.257703
1.100000      0.363467      0.385269      17.379893      34.898814      96.399686      11.734893      25.743939
1.200000      0.379325      0.401581      18.217946      37.274035      104.171061      11.797640      26.201565
1.300000      0.394584      0.417231      19.024131      39.617932      111.913030      11.838223      26.631752
1.400000      0.409120      0.432086      19.789843      41.901163      119.523446      11.856932      27.035503
1.500000      0.422833      0.446046      20.508956      44.098354      126.909367      11.853667      27.413556
1.600000      0.435586      0.458964      21.171386      46.174691      133.949166      11.827906      27.766385
1.700000      0.447181      0.470633      21.761169      48.081192      140.477942      11.778609      28.094157
1.800000      0.457248      0.480665      22.246153      49.730954      146.216581      11.704162      28.396687
1.900000      0.465330      0.488580      22.586153      51.015802      150.818234      11.602187      28.673318
2.000000      0.470117      0.493000      22.660675      51.641118      153.377016      11.469480      28.922859
2.100000      0.469441      0.491653      22.274352      51.132464      152.438807      11.302157      29.143968
2.200000      0.458612      0.479619      21.022851      48.523612      145.064852      11.097791      29.337640
2.300000      0.428774      0.447619      18.244682      42.239088      126.471150      10.866703      29.520075
2.400000      0.358616      0.373454      12.771011      29.512715      88.284124      10.683655      29.775979
2.500000      0.206807      0.214723      4.388800      9.939305      29.424196      10.915428      30.452891
2.600000      0.064731      0.067096      0.514470      1.057316      2.962958      13.199160      32.866115
2.700000      0.016742      0.017329      0.063788      0.100047      0.227332      23.470584      41.706499
2.800000      0.005743      0.005937      0.027531      0.031792      0.046752      52.032744      65.391870
2.900000      0.003550      0.003689      0.060411      0.062048      0.067795      89.487373      96.396474
