Fallback handler called for "DC_BLOCK_INPUT". Got 2 args
Fallback handler called for "DC_BLOCK_CAP". Got 1 args
Fallback handler called for "DC_BLOCK_OUTPUT". Got 2 args
# Output from "simple" SuperMix based program
# Scanning LO_POWER from 5.000000 to 600.000000 nW in steps of 5.000000 nW
#
# FREQUENCY 650.000000 GHz
# BIAS 2.000000 mV
# LO_POWER 200.000000 nW
#
# Data from mixer.conf
#
# TEMP 2.500000 K
# Z0 10.000000 Ohms
# IF_FREQ 5.000000 GHz
# IF_Z0 50.000000 Ohms
# HARMONICS 3
#
# IV_CURVE /data/simulations/balance/mixer/idc.dat
# KK_CURVE ikk.dat
# RNA 20.000000 Ohm*um^2
# SCAP 65.000000 fF/um^2
# AREA 1.000000 um^2
# VGAP 2.820000 mV
#
# TUNER_TYPE BEL_WITH_RFCHOKE
# BELITSKY_INPUT_STRIP 1.000000 7.000000
# BELITSKY_TUNING_STRIP 15.000000 7.000000
# RF_CHOKE_TYPE RADIAL
# RADIAL_CHOKE_TYPE STRAIGHT
# RADIAL_CHOKE_INPUT 39.000000 3.000000 3.000000
# RADIAL_CHOKE_FAN 30.000000 180.000000
#
# TOP_DEFAULT NB
# TOP_THICKNESS 4000.000000
# GROUND_DEFAULT NB
# GROUND_THICKNESS 4000.000000
# INSUL_DEFAULT SIO
# INSUL_THICKNESS 4250.000000
# COVER_DEFAULT AIR
# COVER_THICKNESS 100000.000000
#
# NB_PROPERTIES 3.050000 9.400000 5.000000
# NBTIN_PROPERTIES 5.000000 15.750000 30.000000
# SIO_PROPERTIES 5.800000 0.000400
# AIR_PROPERTIES 1.000000 0.000000
#
# End of configuration file data
# 
# building the mixer...
# building tuner...
# tuner complete
# building IV curves...
# IV curves complete
# built mixer
# Junction 1 Embedding Impedance : 0.089897+-0.120651i
# Junction 2 Embedding Impedance : 0.116069+-0.194216i
# 
# Results:
#
# LO_POWER (nW)| LSB Gain | USB Gain | IF Output 0K (K)| IF Output 77K (K)| IF Output 297K (K)| DC Current (junc 1) (uA)| DC Current (junc 2) (uA)
5.000000      0.091397      0.095616      4.517051      5.609640      9.445133      3.534721      4.043421
10.000000      0.128785      0.134738      5.073575      7.243031      14.858827      3.742361      4.755778
15.000000      0.157138      0.164410      5.627678      8.857689      20.196529      3.949797      5.463973
20.000000      0.180746      0.189122      6.179063      10.452784      25.455536      4.157029      6.168026
25.000000      0.201277      0.210616      6.727452      12.027556      30.633397      4.364054      6.867958
30.000000      0.219589      0.229791      7.272581      13.581310      35.727903      4.570871      7.563788
35.000000      0.236191      0.247179      7.814206      15.113416      40.737070      4.777479      8.255539
40.000000      0.251418      0.263129      8.352093      16.623300      45.659125      4.983877      8.943231
45.000000      0.265503      0.277886      8.886026      18.110443      50.492493      5.190062      9.626883
50.000000      0.278614      0.291625      9.415801      19.574378      55.235785      5.396034      10.306517
55.000000      0.290880      0.304482      9.941223      21.014685      59.887781      5.601791      10.982151
60.000000      0.302403      0.316562      10.462111      22.430987      64.447420      5.807332      11.653807
65.000000      0.313261      0.327948      10.978293      23.822946      68.913786      6.012656      12.321505
70.000000      0.323521      0.338709      11.489606      25.190263      73.286099      6.217760      12.985263
75.000000      0.333236      0.348902      11.995895      26.532672      77.563702      6.422645      13.645102
80.000000      0.342452      0.358572      12.497012      27.849936      81.746049      6.627308      14.301041
85.000000      0.351207      0.367762      12.992817      29.141849      85.832697      6.831748      14.953101
90.000000      0.359535      0.376505      13.483174      30.408227      89.823300      7.035964      15.601299
95.000000      0.367465      0.384832      13.967954      31.648912      93.717593      7.239954      16.245656
