# Normalized simulated SIS DC IV characteristic curve
# Parameter values used in the simulation:
#  Gap Width                = 0.0200000000
#  Subgap Resistance Ratio  = 20.0000000000
#  Subgap Current Leakage   = 0.0100000000
#  Normal Current Defect    = 0.1000000000
#
# V:         	I:
0.0000000000	0.0000000000
0.0208333333	0.0016149259
0.0416666667	0.0034605299
0.0625000000	0.0054501911
0.0833333333	0.0074992674
0.1250000000	0.0115108419
0.1666666667	0.0151613295
0.2083333333	0.0183785645
0.2500000000	0.0212256937
0.2916666667	0.0238011071
0.3333333333	0.0261926023
0.3750000000	0.0284653454
0.4166666667	0.0306636072
0.4583333333	0.0328160277
0.5000000000	0.0349405977
0.5416666667	0.0370484058
0.5833333333	0.0391461981
0.6041666667	0.0401926817
0.6250000000	0.0412380399
0.6458333333	0.0422825334
0.6666666667	0.0433263631
0.6875000000	0.0443696836
0.7083333333	0.0454126139
0.7291666667	0.0464552456
0.7500000000	0.0474976486
0.7708333333	0.0485398770
0.7916666667	0.0495819723
0.8125000000	0.0506239693
0.8333333333	0.0516659190
0.8437500000	0.0521869271
0.8541666667	0.0527080608
0.8645833333	0.0532295809
0.8750000000	0.0537522336
0.8854166667	0.0542781591
0.8958333333	0.0548135001
0.9062500000	0.0553758873
0.9166666667	0.0560159088
0.9270833333	0.0568785958
0.9375000000	0.0583788590
0.9427083333	0.0596799048
0.9479166667	0.0616968990
0.9531250000	0.0649152494
0.9583333333	0.0701366028
0.9635416667	0.0786620275
0.9687500000	0.0925415864
0.9739583333	0.1148453923
0.9791666667	0.1497777007
0.9843750000	0.2022085081
0.9895833333	0.2759939489
0.9947916667	0.3709278576
1.0000000000	0.4799999567
1.0052083333	0.5903322153
1.0104166667	0.6887395598
1.0156250000	0.7674906480
1.0208333333	0.8256309008
1.0312500000	0.8946468267
1.0416666667	0.9282379318
1.0520833333	0.9472436614
1.0625000000	0.9607671429
1.0729166667	0.9722977005
1.0833333333	0.9831124468
1.1041666667	1.0041385650
1.1250000000	1.0249964271
1.1458333333	1.0458328793
1.1666666667	1.0666666090
1.2083333333	1.1083333324
1.2500000000	1.1500000000
1.2916666667	1.1916666667
1.3333333333	1.2333333333
1.4166666667	1.3166666667
1.5000000000	1.4000000000
1.5833333333	1.4833333333
1.6666666667	1.5666666667
1.7500000000	1.6500000000
1.8333333333	1.7333333333
1.9166666667	1.8166666667
2.0000000000	1.9000000000
