# OVRO Measured IV curve
#   V(mV)      I(uA)
# --------    ------
-9.36176386 -228.5742
-9.35333701 -228.3547
-9.33913039 -228.1233
-9.33493414 -227.8858
-9.32876802 -227.6894
-9.32089132 -227.4404
-9.30748041 -227.1527
-9.29823291 -226.8277
-9.28997461 -226.6267
-9.27708588 -226.4436
-9.27095529 -226.2263
-9.26942738 -225.9486
-9.25237843 -225.7421
-9.24052162 -225.4814
-9.23681402 -225.3094
-9.23142015 -225.0705
-9.21873223 -224.8281
-9.20861983 -224.6001
-9.20493922 -224.3534
-9.18996171 -224.1637
-9.18520205 -223.9635
-9.17825204 -223.6988
-9.16872655 -223.4785
-9.1587065 -223.255
-9.15495122 -222.9934
-9.14048102 -222.7994
-9.13329038 -222.5586
-9.12607917 -222.3299
-9.11081208 -221.9576
-9.10329832 -221.7304
-9.09672162 -221.4814
-9.08256638 -221.2786
-9.07679597 -221.0259
-9.06964787 -220.8189
-9.05874227 -220.5869
-9.04614704 -220.3488
-9.04563549 -220.1203
-9.0382202 -219.894
-9.02461392 -219.6624
-9.02244759 -219.4073
-9.01131139 -219.1933
-9.0023978 -218.966
-8.99239101 -218.7347
-8.98270224 -218.4928
-8.97614105 -218.2935
-8.96420634 -218.0198
-8.95519445 -217.7915
-8.94764359 -217.5273
-8.94501929 -217.3063
-8.92879882 -216.9654
-8.91550665 -216.7255
-8.91059493 -216.4971
-8.8997354 -216.238
-8.88833749 -216.0603
-8.88146419 -215.8093
-8.87597886 -215.6242
-8.86783956 -215.3532
-8.85732835 -215.1245
-8.84780592 -214.9024
-8.84146849 -214.6303
-8.83581342 -214.4274
-8.82327756 -214.2132
-8.81207893 -213.9771
-8.80624664 -213.7608
-8.79721159 -213.4873
-8.78940297 -213.3159
-8.78194531 -213.0557
-8.76551251 -212.8397
-8.76338991 -212.6177
-8.74440756 -212.3132
-8.73694905 -212.0535
-8.73442135 -211.8345
-8.72216747 -211.6309
-8.71442919 -211.3593
-8.70183668 -211.1196
-8.69014383 -210.8801
-8.6828418 -210.646
-8.67472379 -210.4213
-8.66928708 -210.2076
-8.65796618 -209.9846
-8.65117945 -209.7415
-8.64021452 -209.5444
-8.63339838 -209.3186
-8.62475245 -209.0515
-8.61591553 -208.7791
-8.6080594 -208.518
-8.59675754 -208.2838
-8.58935058 -208.0526
-8.58391659 -207.8373
-8.57417631 -207.6257
-8.56354237 -207.2339
-8.55223286 -207.0042
-8.53924383 -206.8801
-8.53086709 -206.5723
-8.52593922 -206.3534
-8.51110328 -206.0216
-8.506829 -205.83
-8.49816998 -205.5706
-8.48883854 -205.3538
-8.48012733 -205.1251
-8.47253027 -204.9469
-8.46220784 -204.7248
-8.45463297 -204.4159
-8.44277314 -204.2158
-8.43673316 -203.9452
-8.42341226 -203.7222
-8.41826786 -203.4542
-8.41015835 -203.2245
-8.39721807 -203.0129
-8.38693457 -202.7679
-8.38008677 -202.5019
-8.36752312 -202.1864
-8.35770792 -201.8424
-8.35246475 -201.6325
-8.34357751 -201.3897
-8.33067667 -201.1549
-8.32188794 -200.9718
-8.31592195 -200.7165
-8.3142121 -200.487
-8.29464917 -200.2299
-8.28559444 -200.0268
-8.28020223 -199.7281
-8.26613135 -199.5345
-8.25846944 -199.2768
-8.25266248 -199.0456
-8.24374039 -198.8233
-8.23169769 -198.5543
-8.22529328 -198.3216
-8.22108666 -198.0902
-8.20843954 -197.8238
-8.19392544 -197.5968
-8.18574232 -197.4104
-8.17918254 -197.0338
-8.17032794 -196.7718
-8.16204308 -196.5276
-8.15102932 -196.3004
-8.13971178 -196.0166
-8.13340397 -195.7859
-8.11733645 -195.5315
-8.10942745 -195.3015
-8.10429427 -195.0269
-8.09742084 -194.8348
-8.08774125 -194.5875
-8.07794109 -194.3523
-8.06630098 -194.1406
-8.05983652 -193.8844
-8.04631558 -193.6026
-8.03961644 -193.3668
-8.02943596 -193.0612
-8.01960146 -192.8462
-8.01014197 -192.6459
-8.00139995 -192.3765
-7.99137293 -192.1571
-7.98446823 -191.7481
-7.97250887 -191.4889
-7.96028746 -191.2662
-7.95325343 -190.9921
-7.94926296 -190.7512
-7.93694278 -190.5866
-7.92912286 -190.3042
-7.91437578 -190.0966
-7.91071353 -189.8391
-7.90322034 -189.5998
-7.89341967 -189.3649
-7.88913851 -189.0597
-7.87700843 -188.8421
-7.86176437 -188.5739
-7.85229957 -188.3179
-7.84883889 -188.1183
-7.84032441 -187.8327
-7.82730844 -187.6068
-7.82463943 -187.4121
-7.81271747 -187.1309
-7.79907443 -186.8621
-7.79106055 -186.4585
-7.78145406 -186.1682
-7.77113231 -185.9457
-7.76037363 -185.6861
-7.75145103 -185.4641
-7.73959439 -185.2033
-7.73157281 -184.9807
-7.72878506 -184.7382
-7.72327453 -184.5091
-7.7157864 -184.208
-7.69581123 -183.9581
-7.68851889 -183.7183
-7.68410887 -183.4889
-7.67316872 -183.2184
-7.66110651 -183.0197
-7.65064175 -182.8225
-7.64483802 -182.5894
-7.63147526 -182.3322
-7.62577765 -182.0955
-7.61372955 -181.8885
-7.60207551 -181.4497
-7.59189405 -181.2035
-7.58009189 -181.0283
-7.57661196 -180.7812
-7.56246093 -180.5171
-7.5526031 -180.257
-7.54746346 -179.9862
-7.54091328 -179.7216
-7.52738864 -179.5008
-7.52328661 -179.2667
-7.50873133 -179.0051
-7.50352624 -178.7728
-7.49806756 -178.5132
-7.48379477 -178.2619
-7.46993647 -178.0609
-7.46188187 -177.7989
-7.45534512 -177.5264
-7.44868746 -177.2662
-7.44017451 -176.9797
-7.43040444 -176.7268
-7.42258371 -176.5037
-7.40679227 -176.0869
-7.39573852 -175.8244
-7.39158583 -175.6201
-7.38065435 -175.3445
-7.37028326 -175.0922
-7.36270129 -174.8463
-7.34972442 -174.5974
-7.34321372 -174.3684
-7.33206949 -174.1003
-7.32417596 -173.8612
-7.3170401 -173.647
-7.31225439 -173.4033
-7.30665644 -173.1668
-7.28810337 -172.9039
-7.28177941 -172.6827
-7.27422515 -172.4205
-7.26093604 -172.1788
-7.25229453 -171.9091
-7.24242378 -171.6566
-7.23589404 -171.4388
-7.22174573 -171.1731
-7.2124038 -170.786
-7.20288035 -170.5645
-7.18810701 -170.2547
-7.18348713 -170.0311
-7.17252165 -169.7755
-7.1665016 -169.552
-7.15897964 -169.2708
-7.14524803 -169.0541
-7.13310907 -168.7829
-7.12497997 -168.5059
-7.11646264 -168.2808
-7.10662797 -168.0659
-7.09730907 -167.7829
-7.09033356 -167.5332
-7.08149821 -167.3187
-7.06636129 -167.0463
-7.06554413 -166.8211
-7.05324329 -166.5863
-7.04573004 -166.3588
-7.03868679 -166.0313
-7.02950945 -165.8415
-7.01251665 -165.4255
-7.00543094 -165.1818
-6.99343775 -164.9425
-6.98441817 -164.6599
-6.97505647 -164.4609
-6.95802924 -164.1828
-6.94773112 -163.9464
-6.95097142 -163.6874
-6.93805358 -163.4626
-6.93288062 -163.2114
-6.92704166 -162.9402
-6.91300899 -162.6653
-6.9086022 -162.434
-6.89726923 -162.2181
-6.88306635 -161.9845
-6.87743538 -161.7086
-6.8662444 -161.468
-6.85439184 -161.2048
-6.84804183 -160.9401
-6.84202229 -160.7163
-6.83143539 -160.4733
-6.8160091 -160.077
-6.80144396 -159.8212
-6.79711146 -159.5462
-6.78697777 -159.2719
-6.78025228 -159.0516
-6.77049683 -158.7901
-6.74833118 -158.5346
-6.74901249 -158.3103
-6.74063898 -158.0006
-6.73748098 -157.7406
-6.72304988 -157.5236
-6.71580633 -157.2551
-6.70351314 -157.0158
-6.69326997 -156.8059
-6.68888473 -156.5031
-6.68143676 -156.2372
-6.6745978 -155.966
-6.66055697 -155.6959
-6.65033403 -155.4741
-6.64154866 -155.2302
-6.63034965 -154.9355
-6.61657763 -154.5661
-6.60557492 -154.3324
-6.6002581 -154.107
-6.5922069 -153.843
-6.58253666 -153.5902
-6.57087131 -153.2757
-6.56456261 -152.9867
-6.55240482 -152.7854
-6.54154767 -152.5249
-6.53895856 -152.2832
-6.52732882 -152.0654
-6.51757082 -151.8054
-6.50594588 -151.6436
-6.49678818 -151.3246
-6.48463324 -151.0628
-6.4814494 -150.818
-6.46565536 -150.5792
-6.46283531 -150.3557
-6.45831046 -150.0762
-6.44515348 -149.8156
-6.42603743 -149.4721
-6.42438878 -149.2066
-6.41425747 -148.9309
-6.40034303 -148.7041
-6.39464096 -148.4112
-6.37985219 -148.1693
-6.37395798 -147.9306
-6.366367 -147.69
-6.35155014 -147.4058
-6.34143366 -147.1802
-6.33759844 -146.9068
-6.3252282 -146.654
-6.31343722 -146.4134
-6.30727735 -146.1545
-6.30226206 -145.9282
-6.28745748 -145.6956
-6.28056004 -145.4588
-6.27578708 -145.2076
-6.25750579 -144.9613
-6.25366547 -144.6909
-6.23956599 -144.4553
-6.22812491 -144.0677
-6.22056572 -143.8084
-6.20730585 -143.5495
-6.20230858 -143.3126
-6.19453375 -143.0625
-6.18379734 -142.7898
-6.17148698 -142.5606
-6.16301351 -142.3097
-6.15295075 -142.0525
-6.13838799 -141.7953
-6.13556688 -141.5136
-6.13521793 -141.3071
-6.11884888 -141.0536
-6.11141468 -140.7796
-6.09895243 -140.5221
-6.09507267 -140.2749
-6.08451539 -140.0733
-6.07756984 -139.8648
-6.06193751 -139.5897
-6.05644891 -139.3477
-6.04761403 -139.0741
-6.03269373 -138.7331
-6.02081907 -138.4829
-6.00805818 -138.2246
-6.00382364 -137.9508
-5.99341821 -137.7187
-5.98517262 -137.4514
-5.97832061 -137.2467
-5.96694238 -136.9986
-5.95310805 -136.7835
-5.94659935 -136.4945
-5.93871755 -136.2485
-5.92398509 -136.0323
-5.92143525 -135.7675
-5.90551635 -135.4845
-5.89890943 -135.3121
-5.89341365 -135.0155
-5.88360941 -134.7827
-5.87185043 -134.5821
-5.8573824 -134.328
-5.85194263 -134.1161
-5.84339075 -133.8525
-5.83190768 -133.4896
-5.8216031 -133.257
-5.81316754 -132.9838
-5.80151515 -132.7205
-5.79156981 -132.5707
-5.78542898 -132.3006
-5.77207353 -132.0391
-5.76312781 -131.8307
-5.75631541 -131.6027
-5.74707636 -131.4492
-5.73563587 -131.1789
-5.72804846 -130.9362
-5.71657958 -130.6826
-5.7132529 -130.463
-5.70082673 -130.2431
-5.69216635 -129.9845
-5.68157826 -129.7422
-5.67450513 -129.4911
-5.65878083 -129.2701
-5.65565921 -128.9887
-5.64738391 -128.7977
-5.63071121 -128.4287
-5.61740901 -128.1947
-5.6101301 -127.947
-5.60097214 -127.7458
-5.58115345 -127.5215
-5.58458087 -127.3289
-5.57469006 -127.0882
-5.56519415 -126.8505
-5.55626424 -126.6328
-5.54224691 -126.4077
-5.53538776 -126.2072
-5.52661803 -125.9541
-5.51605837 -125.7539
-5.50819072 -125.5584
-5.49627615 -125.3905
-5.49381964 -125.0708
-5.47925165 -124.8755
-5.47435047 -124.6409
-5.45033144 -124.4168
-5.44129473 -124.2031
-5.44500749 -123.9603
-5.42770967 -123.6649
-5.4172733 -123.451
-5.40719477 -123.2619
-5.40334735 -123.0545
-5.39374043 -122.8821
