# Normalized simulated SIS DC IV characteristic curve
# Parameter values used in the simulation:
#  Gap Width              = 0.0500000000
#  Subgap Conductance     = 0.0080000000
#  Subgap Current Leakage = 0.0180000000
#  Normal Current Defect  = 0.2100000000
#
# V:         	I:
0.0000000000	0.0000000000
0.0416666667	0.0033772170
0.0833333333	0.0066515289
0.1250000000	0.0096377067
0.1666666667	0.0122258244
0.2083333333	0.0143838692
0.2500000000	0.0161376798
0.2916666667	0.0175445085
0.3333333333	0.0186714171
0.3750000000	0.0195820339
0.4166666667	0.0203304764
0.4583333333	0.0209598483
0.5000000000	0.0215030697
0.5416666667	0.0219845954
0.5833333333	0.0224222641
0.6041666667	0.0226288345
0.6250000000	0.0228289770
0.6458333333	0.0230237900
0.6666666667	0.0232142899
0.6875000000	0.0234015509
0.7083333333	0.0235870012
0.7291666667	0.0237730968
0.7500000000	0.0239648984
0.7708333333	0.0241738018
0.7916666667	0.0244263811
0.8125000000	0.0247853444
0.8333333333	0.0253990521
0.8541666667	0.0266178293
0.8750000000	0.0292636099
0.8958333333	0.0352367524
0.9166666667	0.0487885460
0.9270833333	0.0609118470
0.9375000000	0.0787416891
0.9479166667	0.1044486348
0.9583333333	0.1404678963
0.9687500000	0.1889822952
0.9791666667	0.2510136046
0.9895833333	0.3253550101
1.0000000000	0.4079966079
1.0208333333	0.5731241347
1.0416666667	0.7037233288
1.0625000000	0.7898408434
1.0833333333	0.8441696206
1.1041666667	0.8809249131
1.1250000000	0.9090567330
1.1458333333	0.9331802484
1.1666666667	0.9554854668
1.2083333333	0.9981000705
1.2500000000	1.0399540573
1.2916666667	1.0816576345
1.3333333333	1.1233315604
1.4166666667	1.2066665986
1.5000000000	1.2899999974
1.5833333333	1.3733333332
1.6666666667	1.4566666667
1.7500000000	1.5400000000
1.8333333333	1.6233333333
1.9166666667	1.7066666667
2.0000000000	1.7900000000
