# Simulated Pumped IV response
# Parameters:
#     SUB1_T   = 4300.00 Angstrom
#     AREA     = 1.44 sq uM
#     RNA      = 21.00 Ohm sq uM
#     LO freq  = 750.00 GHz
#     LO pwr   = 150.00 nW
#     Noise    = 1.50 uA 
#     V offset = 0.01 mV 
#     I offset = -1.00 uA 
# V(mV)	I(uA)
-4.50	-5.28e+02
-4.48	-5.25e+02
-4.46	-5.23e+02
-4.44	-5.20e+02
-4.42	-5.18e+02
-4.40	-5.15e+02
-4.38	-5.12e+02
-4.36	-5.10e+02
-4.34	-5.07e+02
-4.32	-5.04e+02
-4.30	-5.01e+02
-4.28	-4.99e+02
-4.26	-4.96e+02
-4.24	-4.94e+02
-4.22	-4.91e+02
-4.20	-4.88e+02
-4.18	-4.86e+02
-4.16	-4.83e+02
-4.14	-4.80e+02
-4.12	-4.78e+02
-4.10	-4.75e+02
-4.08	-4.73e+02
-4.06	-4.70e+02
-4.04	-4.67e+02
-4.02	-4.65e+02
-4.00	-4.62e+02
-3.98	-4.59e+02
-3.96	-4.57e+02
-3.94	-4.54e+02
-3.92	-4.52e+02
-3.90	-4.49e+02
-3.88	-4.46e+02
-3.86	-4.43e+02
-3.84	-4.41e+02
-3.82	-4.38e+02
-3.80	-4.36e+02
-3.78	-4.33e+02
-3.76	-4.31e+02
-3.74	-4.28e+02
-3.72	-4.25e+02
-3.70	-4.23e+02
-3.68	-4.20e+02
-3.66	-4.17e+02
-3.64	-4.15e+02
-3.62	-4.12e+02
-3.60	-4.10e+02
-3.58	-4.07e+02
-3.56	-4.04e+02
-3.54	-4.01e+02
-3.52	-3.99e+02
-3.50	-3.96e+02
-3.48	-3.93e+02
-3.46	-3.90e+02
-3.44	-3.88e+02
-3.42	-3.85e+02
-3.40	-3.82e+02
-3.38	-3.79e+02
-3.36	-3.75e+02
-3.34	-3.72e+02
-3.32	-3.68e+02
-3.30	-3.64e+02
-3.28	-3.60e+02
-3.26	-3.55e+02
-3.24	-3.50e+02
-3.22	-3.44e+02
-3.20	-3.37e+02
-3.18	-3.29e+02
-3.16	-3.20e+02
-3.14	-3.09e+02
-3.12	-2.97e+02
-3.10	-2.83e+02
-3.08	-2.66e+02
-3.06	-2.49e+02
-3.04	-2.30e+02
-3.02	-2.10e+02
-3.00	-1.90e+02
-2.98	-1.70e+02
-2.96	-1.51e+02
-2.94	-1.33e+02
-2.92	-1.18e+02
-2.90	-1.04e+02
-2.88	-9.23e+01
-2.86	-8.29e+01
-2.84	-7.50e+01
-2.82	-6.84e+01
-2.80	-6.33e+01
-2.78	-5.95e+01
-2.76	-5.60e+01
-2.74	-5.36e+01
-2.72	-5.13e+01
-2.70	-5.00e+01
-2.68	-4.85e+01
-2.66	-4.77e+01
-2.64	-4.68e+01
-2.62	-4.64e+01
-2.60	-4.58e+01
-2.58	-4.49e+01
-2.56	-4.47e+01
-2.54	-4.42e+01
-2.52	-4.41e+01
-2.50	-4.38e+01
-2.48	-4.34e+01
-2.46	-4.33e+01
-2.44	-4.28e+01
-2.42	-4.29e+01
-2.40	-4.27e+01
-2.38	-4.22e+01
-2.36	-4.20e+01
-2.34	-4.17e+01
-2.32	-4.17e+01
-2.30	-4.16e+01
-2.28	-4.14e+01
-2.26	-4.10e+01
-2.24	-4.08e+01
-2.22	-4.09e+01
-2.20	-4.09e+01
-2.18	-4.06e+01
-2.16	-4.04e+01
-2.14	-4.03e+01
-2.12	-4.01e+01
-2.10	-3.97e+01
-2.08	-3.97e+01
-2.06	-3.95e+01
-2.04	-3.95e+01
-2.02	-3.92e+01
-2.00	-3.91e+01
-1.98	-3.86e+01
-1.96	-3.88e+01
-1.94	-3.84e+01
-1.92	-3.84e+01
-1.90	-3.82e+01
-1.88	-3.81e+01
-1.86	-3.80e+01
-1.84	-3.76e+01
-1.82	-3.75e+01
-1.80	-3.72e+01
-1.78	-3.73e+01
-1.76	-3.72e+01
-1.74	-3.68e+01
-1.72	-3.67e+01
-1.70	-3.65e+01
-1.68	-3.65e+01
-1.66	-3.62e+01
-1.64	-3.63e+01
-1.62	-3.60e+01
-1.60	-3.57e+01
-1.58	-3.54e+01
-1.56	-3.52e+01
-1.54	-3.51e+01
-1.52	-3.49e+01
-1.50	-3.48e+01
-1.48	-3.46e+01
-1.46	-3.44e+01
-1.44	-3.42e+01
-1.42	-3.42e+01
-1.40	-3.41e+01
-1.38	-3.39e+01
-1.36	-3.35e+01
-1.34	-3.32e+01
-1.32	-3.33e+01
-1.30	-3.32e+01
-1.28	-3.28e+01
-1.26	-3.27e+01
-1.24	-3.24e+01
-1.22	-3.20e+01
-1.20	-3.22e+01
-1.18	-3.22e+01
-1.16	-3.17e+01
-1.14	-3.15e+01
-1.12	-3.14e+01
-1.10	-3.11e+01
-1.08	-3.11e+01
-1.06	-3.08e+01
